title,img,color,price
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Pink
Jager 619,https://www.aoeah.com//images/rocketleague/items/default.png,$11.74,Purple
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Default Color
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Burnt Sienna
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Cobalt
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Crimson
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Forest Green
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$12.07,Grey
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$12.07,Lime
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Orange
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Pink
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Purple
Hotshot,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Saffron
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Default Color
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$12.49,Burnt Sienna
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Cobalt
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$12.33,Crimson
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Forest Green
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Grey
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Lime
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$12.07,Orange
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Pink
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Purple
"Paladin
(Bodies)",https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Saffron
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Default Color
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.55,Burnt Sienna
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Cobalt
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.99,Crimson
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Forest Green
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Grey
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Lime
X-Devil Mk2,https://www.aoeah.com//images/rocketleague/items/default.png,$11.81,Orange
