title,short_title,link,saleprice,oldprice,reviews,percentoff
SSD M.2 2TB Samsung 980 PRO Heatsink NVMe PCIe 4.0,SSD M.2 2TB Samsung 980 P,/Samsung-Electronics-Heatsink-NVMe-Retail/dp/B09J14CJ89/ref=sr_1_280?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139948&sprefix=ssd+1tb%2Caps%2C247&sr=8-280,299.99,398.56,189.0,24.731533520674432
"SAMSUNG 870 EVO SATA III SSD 1TB 2.5” Internal Solid State Hard Drive, Upgrade PC or Laptop Memory and Storage for IT Pros, Creators, Everyday Users, MZ-77E1T0B/AM",SAMSUNG 870 EVO SATA III ,/SAMSUNG-Inch-Internal-MZ-77E1T0B-AM/dp/B08QBJ2YMG/ref=sr_1_5?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139862&sprefix=ssd+1tb%2Caps%2C247&sr=8-5,114.99,149.99,0.0,23.334888992599517
"Lexar NM620 1TB M.2 2280 PCIe Internal SSD, Solid State Drive, Up to 3300MB/s Read, for PC Enthusiasts and Gamers (LNM620X001T-RNNNU)",Lexar NM620 1TB M.2 2280 ,/Lexar-Internal-3300MB-Enthusiasts-LNM620X001T-RNNNU/dp/B08V1647LL/ref=sr_1_186?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139919&sprefix=ssd+1tb%2Caps%2C247&sr=8-186,92.4,119.99,0.0,22.993582798566536
"SAMSUNG SSD T7 Portable External Solid State Drive 1TB, Up to 1050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",SAMSUNG SSD T7 Portable E,/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_22?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139871&sprefix=ssd+1tb%2Caps%2C247&sr=8-22,109.99,139.99,0.0,21.4301021501536
NVMe 1TB M.2 Compatible with PS5 SSD Equipped with 1GB DDR4 Cache Solid State Drive Gen4 PCIe 4.0 Read 7300 MB/s Write 6000 MB/s M.2 2280 3D NAND TLC Acclamator,NVMe 1TB M.2 Compatible w,/1TB-Compatible-Equipped-Cache-Acclamator/dp/B09NPVTWHC/ref=sr_1_72?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139885&sprefix=ssd+1tb%2Caps%2C247&sr=8-72,109.99,139.99,7.0,21.4301021501536
MSI SPATIUM M480 PCIe 4.0 NVMe M.2 1TB Internal SSD PCIe Gen4 NVMe 1.4 3D NAND 1400 TBW (SPATIUM M480 PCIe 4.0 NVMe M.2 1TB),MSI SPATIUM M480 PCIe 4.0,/MSI-SPATIUM-M480-PCIe-Internal/dp/B098TLNGGB/ref=sr_1_200?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139924&sprefix=ssd+1tb%2Caps%2C247&sr=8-200,142.0,179.99,51.0,21.106728151563985
Timetec 256GB SSD 3D NAND TLC SATA III 6Gb/s M.2 2280 NGFF 128TBW Read Speed Up to 550MB/s SLC Cache Performance Boost Internal Solid State Drive for PC Computer Laptop and Desktop (256GB),Timetec 256GB SSD 3D NAND,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg8_1?ie=UTF8&adId=A084274480IDR6GW50H&url=%2FTimetec-256GB-128TBW-Performance-Internal%2Fdp%2FB08GJB3P7H%2Fref%3Dsr_1_133_sspa%3Fcrid%3D1242MEW9WYNP%26keywords%3Dssd%2B1tb%26qid%3D1657139899%26sprefix%3Dssd%2B1tb%252Caps%252C247%26sr%3D8-133-spons%26psc%3D1&qualifier=1657139899&id=3529974961035728&widgetName=sp_btf,22.99,28.99,934.0,20.696791997240425
Cysslogy 2.5 to 3.5 Hard Drive Adapter Dual SSD Mounting Bracket for Any 2.5 SSD or HDD,Cysslogy 2.5 to 3.5 Hard ,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg13_1?ie=UTF8&adId=A0359887FX2QIAVI4NRQ&url=%2FCysslogy-Drive-Adapter-Mounting-Bracket%2Fdp%2FB096TQGS7H%2Fref%3Dsr_1_194_sspa%3Fcrid%3D1242MEW9WYNP%26keywords%3Dssd%2B1tb%26qid%3D1657139924%26sprefix%3Dssd%2B1tb%252Caps%252C247%26sr%3D8-194-spons%26psc%3D1&qualifier=1657139924&id=4002577006984238&widgetName=sp_atf_next,7.99,9.99,117.0,20.020020020020027
"Crucial P5 Plus 1TB PCIe 4.0 3D NAND NVMe M.2 Gaming SSD, up to 6600MB/s - CT1000P5PSSD8",Crucial P5 Plus 1TB PCIe ,/Crucial-Plus-PCIe-NAND-6600MB/dp/B098WL46RS/ref=sr_1_41?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139876&sprefix=ssd+1tb%2Caps%2C247&sr=8-41,127.99,159.99,0.0,20.0012500781299
"Western Digital 1TB WD Blue SN570 NVMe Internal Solid State Drive SSD - Gen3 x4 PCIe 8Gb/s, M.2 2280, Up to 3,500 MB/s - WDS100T3B0C",Western Digital 1TB WD Bl,/Western-Digital-SN570-Internal-Solid/dp/B09HKDQ1RN/ref=sr_1_18?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139862&sprefix=ssd+1tb%2Caps%2C247&sr=8-18,88.79,109.99,0.0,19.274479498136188
"TEAMGROUP MP33 1TB SLC Cache 3D NAND TLC NVMe 1.3 PCIe Gen3x4 M.2 2280 Internal Solid State Drive SSD (Read/Write Speed up to 1,800/1,500 MB/s) Compatible with Laptop & PC Desktop TM8FP6001T0C101",TEAMGROUP MP33 1TB SLC Ca,/TEAMGROUP-Solid-State-Drive-Gen3x4/dp/B07XHMBQK3/ref=sr_1_25?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139871&sprefix=ssd+1tb%2Caps%2C247&sr=8-25,72.79,89.99,0.0,19.113234803867087
Kingston 1TB A2000 M.2 2280 Nvme Internal SSD PCIe Up to 2000MB/S with Full Security Suite SA2000M8/1000G,Kingston 1TB A2000 M.2 22,/Kingston-Internal-Security-SA2000M8-1000G/dp/B07VXC9QMH/ref=sr_1_143?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139904&sprefix=ssd+1tb%2Caps%2C247&sr=8-143,97.99,119.99,0.0,18.334861238436545
addlink Addgame PS5 Compatible A95 1TB 7300 MB/s Read Speed Internal Solid State Drive - M.2 2280 PCIe NVMe 1.4 Gen4X4 3D TLC NAND SSD with Heatsink (ad1TBA95M2P),addlink Addgame PS5 Compa,/Internal-Heatsink-Compatible-Playstation-Solid-State/dp/B09HJY91PV/ref=sr_1_222?crid=1242MEW9WYNP&keywords=ssd+1tb&qid=1657139928&sprefix=ssd+1tb%2Caps%2C247&sr=8-222,134.88,164.99,596.0,18.249590884296026
